timestamp;epochtime;elapsedsecs;Ftmw.Shots
Tue Jan 31 15:57:25 2023;1675209445;0;0
Tue Jan 31 16:02:26 2023;1675209746;300;29960
Tue Jan 31 16:07:25 2023;1675210045;600;59920
Tue Jan 31 16:12:25 2023;1675210345;900;89920
Tue Jan 31 16:17:25 2023;1675210645;1200;119920
Tue Jan 31 16:22:25 2023;1675210945;1500;149920
Tue Jan 31 16:27:25 2023;1675211245;1800;179920
Tue Jan 31 16:32:25 2023;1675211545;2100;209920
Tue Jan 31 16:37:25 2023;1675211845;2400;239920
Tue Jan 31 16:42:25 2023;1675212145;2700;269920
Tue Jan 31 16:47:25 2023;1675212445;3000;299920
Tue Jan 31 16:52:25 2023;1675212745;3300;329920
Tue Jan 31 16:57:25 2023;1675213045;3600;359920
Tue Jan 31 17:02:25 2023;1675213345;3900;389920
Tue Jan 31 17:07:25 2023;1675213645;4200;419920
Tue Jan 31 17:12:25 2023;1675213945;4500;449920
Tue Jan 31 17:17:25 2023;1675214245;4800;479920
