ObjKey;ArrayKey;ArrayIndex;ValueKey;Value;Units
ChirpConfig;;;ChirpInterval;20;μs
ChirpConfig;;;SampleInterval;6.25e-05;μs
ChirpConfig;;;SampleRate;16000;MHz
Experiment;;;BCBuildVersion;"7a31048a624bfe849eba0a820c7c4e1dc28ea270";
Experiment;;;BCMajorVersion;2;
Experiment;;;BCMinorVersion;0;
Experiment;;;BCPatchVersion;0;
Experiment;;;BCReleaseVersion;devel;
Experiment;;;BackupInterval;1;min
Experiment;;;Number;58;
Experiment;;;TimeDataInterval;15;s
FlowController.Default;;;PressureControlEnabled;true;
FlowController.Default;;;PressureSetPoint;900;Torr
FlowController.Default;Channel;0;Enabled;true;
FlowController.Default;Channel;0;FlowSetPoint;10;sccm
FlowController.Default;Channel;0;Name;;
FlowController.Default;Channel;1;Enabled;false;
FlowController.Default;Channel;1;FlowSetPoint;0;blah
FlowController.Default;Channel;1;Name;;
FlowController.Default;Channel;2;Enabled;true;
FlowController.Default;Channel;2;FlowSetPoint;5;sccm
FlowController.Default;Channel;2;Name;;
FlowController.Default;Channel;3;Enabled;false;
FlowController.Default;Channel;3;FlowSetPoint;0;sccm
FlowController.Default;Channel;3;Name;;
FtmwConfig;;;ChirpScoringEnabled;false;
FtmwConfig;;;Objective;100;
FtmwConfig;;;PhaseCorrectionEnabled;false;
FtmwConfig;;;Type;Forever;
FtmwDigitizer.virtual;;;BlockAverageEnabled;false;
FtmwDigitizer.virtual;;;BlockAverages;1;
FtmwDigitizer.virtual;;;ByteOrder;LittleEndian;
FtmwDigitizer.virtual;;;BytesPerPoint;1;
FtmwDigitizer.virtual;;;FidChannel;1;
FtmwDigitizer.virtual;;;MultiRecordEnabled;false;
FtmwDigitizer.virtual;;;MultiRecordNum;1;
FtmwDigitizer.virtual;;;RecordLength;750000;
FtmwDigitizer.virtual;;;SampleRate;5e+10;Hz
FtmwDigitizer.virtual;;;TriggerChannel;0;
FtmwDigitizer.virtual;;;TriggerDelay;0;μs
FtmwDigitizer.virtual;;;TriggerEdge;RisingEdge;
FtmwDigitizer.virtual;;;TriggerLevel;0.3;V
FtmwDigitizer.virtual;AnalogChannel;0;Enabled;true;
FtmwDigitizer.virtual;AnalogChannel;0;FullScale;0.05;V
FtmwDigitizer.virtual;AnalogChannel;0;Index;1;
FtmwDigitizer.virtual;AnalogChannel;0;VerticalOffset;0;V
FtmwDigitizer.virtual;AnalogChannel;1;Enabled;false;
FtmwDigitizer.virtual;AnalogChannel;1;FullScale;0.05;V
FtmwDigitizer.virtual;AnalogChannel;1;Index;2;
FtmwDigitizer.virtual;AnalogChannel;1;VerticalOffset;0;V
FtmwDigitizer.virtual;AnalogChannel;2;Enabled;false;
FtmwDigitizer.virtual;AnalogChannel;2;FullScale;0.05;V
FtmwDigitizer.virtual;AnalogChannel;2;Index;3;
FtmwDigitizer.virtual;AnalogChannel;2;VerticalOffset;0;V
FtmwDigitizer.virtual;AnalogChannel;3;Enabled;false;
FtmwDigitizer.virtual;AnalogChannel;3;FullScale;0.05;V
FtmwDigitizer.virtual;AnalogChannel;3;Index;4;
FtmwDigitizer.virtual;AnalogChannel;3;VerticalOffset;0;V
PulseGenerator.Default;;;PulseGenEnabled;true;
PulseGenerator.Default;;;PulseGenMode;Continuous;
PulseGenerator.Default;;;RepRate;5;Hz
PulseGenerator.Default;Channel;0;ActiveLevel;ActiveHigh;
PulseGenerator.Default;Channel;0;Delay;0;μs
PulseGenerator.Default;Channel;0;DutyOff;1;
PulseGenerator.Default;Channel;0;DutyOn;1;
PulseGenerator.Default;Channel;0;Enabled;true;
PulseGenerator.Default;Channel;0;Mode;Normal;
PulseGenerator.Default;Channel;0;Name;Gas;
PulseGenerator.Default;Channel;0;Role;Gas;
PulseGenerator.Default;Channel;0;SyncChannel;0;
PulseGenerator.Default;Channel;0;Width;900;μs
PulseGenerator.Default;Channel;1;ActiveLevel;ActiveHigh;
PulseGenerator.Default;Channel;1;Delay;350;μs
PulseGenerator.Default;Channel;1;DutyOff;1;
PulseGenerator.Default;Channel;1;DutyOn;1;
PulseGenerator.Default;Channel;1;Enabled;true;
PulseGenerator.Default;Channel;1;Mode;Normal;
PulseGenerator.Default;Channel;1;Name;AWG;
PulseGenerator.Default;Channel;1;Role;AWG;
PulseGenerator.Default;Channel;1;SyncChannel;0;
PulseGenerator.Default;Channel;1;Width;50;μs
PulseGenerator.Default;Channel;2;ActiveLevel;ActiveHigh;
PulseGenerator.Default;Channel;2;Delay;0;μs
PulseGenerator.Default;Channel;2;DutyOff;1;
PulseGenerator.Default;Channel;2;DutyOn;1;
PulseGenerator.Default;Channel;2;Enabled;false;
PulseGenerator.Default;Channel;2;Mode;Normal;
PulseGenerator.Default;Channel;2;Name;DC;
PulseGenerator.Default;Channel;2;Role;DC;
PulseGenerator.Default;Channel;2;SyncChannel;0;
PulseGenerator.Default;Channel;2;Width;1;μs
PulseGenerator.Default;Channel;3;ActiveLevel;ActiveHigh;
PulseGenerator.Default;Channel;3;Delay;0;μs
PulseGenerator.Default;Channel;3;DutyOff;1;
PulseGenerator.Default;Channel;3;DutyOn;1;
PulseGenerator.Default;Channel;3;Enabled;false;
PulseGenerator.Default;Channel;3;Mode;Normal;
PulseGenerator.Default;Channel;3;Name;Gate;
PulseGenerator.Default;Channel;3;Role;None;
PulseGenerator.Default;Channel;3;SyncChannel;0;
PulseGenerator.Default;Channel;3;Width;1;μs
PulseGenerator.Default;Channel;4;ActiveLevel;ActiveHigh;
PulseGenerator.Default;Channel;4;Delay;0;μs
PulseGenerator.Default;Channel;4;DutyOff;1;
PulseGenerator.Default;Channel;4;DutyOn;1;
PulseGenerator.Default;Channel;4;Enabled;false;
PulseGenerator.Default;Channel;4;Mode;Normal;
PulseGenerator.Default;Channel;4;Name;Ch5;
PulseGenerator.Default;Channel;4;Role;None;
PulseGenerator.Default;Channel;4;SyncChannel;0;
PulseGenerator.Default;Channel;4;Width;1;μs
PulseGenerator.Default;Channel;5;ActiveLevel;ActiveHigh;
PulseGenerator.Default;Channel;5;Delay;0;μs
PulseGenerator.Default;Channel;5;DutyOff;1;
PulseGenerator.Default;Channel;5;DutyOn;1;
PulseGenerator.Default;Channel;5;Enabled;false;
PulseGenerator.Default;Channel;5;Mode;Normal;
PulseGenerator.Default;Channel;5;Name;LIF;
PulseGenerator.Default;Channel;5;Role;LIF;
PulseGenerator.Default;Channel;5;SyncChannel;0;
PulseGenerator.Default;Channel;5;Width;1;μs
PulseGenerator.Default;Channel;6;ActiveLevel;ActiveHigh;
PulseGenerator.Default;Channel;6;Delay;0;μs
PulseGenerator.Default;Channel;6;DutyOff;1;
PulseGenerator.Default;Channel;6;DutyOn;1;
PulseGenerator.Default;Channel;6;Enabled;false;
PulseGenerator.Default;Channel;6;Mode;Normal;
PulseGenerator.Default;Channel;6;Name;Ch7;
PulseGenerator.Default;Channel;6;Role;None;
PulseGenerator.Default;Channel;6;SyncChannel;0;
PulseGenerator.Default;Channel;6;Width;1;μs
PulseGenerator.Default;Channel;7;ActiveLevel;ActiveHigh;
PulseGenerator.Default;Channel;7;Delay;0;μs
PulseGenerator.Default;Channel;7;DutyOff;1;
PulseGenerator.Default;Channel;7;DutyOn;1;
PulseGenerator.Default;Channel;7;Enabled;false;
PulseGenerator.Default;Channel;7;Mode;Normal;
PulseGenerator.Default;Channel;7;Name;Ch8;
PulseGenerator.Default;Channel;7;Role;None;
PulseGenerator.Default;Channel;7;SyncChannel;0;
PulseGenerator.Default;Channel;7;Width;1;μs
RfConfig;;;AwgMult;1;
RfConfig;;;ChirpMult;4;
RfConfig;;;CommonUpDownLO;false;
RfConfig;;;DownconversionSideband;LowerSideband;
RfConfig;;;ShotsPerClockConfig;0;
RfConfig;;;TargetSweeps;1;
RfConfig;;;UpconversionSideband;LowerSideband;
TemperatureController.default;Channel;0;Enabled;true;
TemperatureController.default;Channel;0;Name;He shield;
TemperatureController.default;Channel;1;Enabled;false;
TemperatureController.default;Channel;1;Name;Temperature Ch2;
TemperatureController.default;Channel;2;Enabled;false;
TemperatureController.default;Channel;2;Name;Temperature Ch3;
TemperatureController.default;Channel;3;Enabled;false;
