lIndex;dIndex;shots;lifsize;refsize;spacing;lifymult;refymult
0;0;20;10000;0;8e-10;0.001953125;0
1;0;20;10000;0;8e-10;0.001953125;0
0;1;20;10000;0;8e-10;0.001953125;0
1;1;20;10000;0;8e-10;0.001953125;0
0;2;20;10000;0;8e-10;0.001953125;0
1;2;20;10000;0;8e-10;0.001953125;0
0;3;20;10000;0;8e-10;0.001953125;0
1;3;20;10000;0;8e-10;0.001953125;0
2;3;20;10000;0;8e-10;0.001953125;0
0;4;20;10000;0;8e-10;0.001953125;0
1;4;20;10000;0;8e-10;0.001953125;0
0;5;20;10000;0;8e-10;0.001953125;0
1;5;20;10000;0;8e-10;0.001953125;0
